문항번호,방어기제,문항내용
75,승화,괴로운 일이 있을 때 뭔가 일을 하면서 푼다.
76,행동화,깊은 좌절감 때문에 나 자신에게 상처를 입히는 행동을 저지른 적이 있다.
77,이타주의,연말에 자선 모금이나 불우이웃 돕기에 참가하곤 한다.
78,퇴행,가끔 나 자신이 어린아이처럼 무기력해진다고 느낄 때가 있다.
79,유머,비열한 상대와 맞싸우지 않고 유머로 넘길 수 있다.
80,회피,나는 거절당할까 봐 남에게 부탁을 잘 하지 않는다.
81,허세,돈에 여유가 없더라도 옷을 살 때는 기왕이면 최고급 옷을 사겠다.
82,반동형성,때로는 상대방을 좋아하면서도 싫어하는 척할 때가 있다.
83,동일시,남이 하는 대로 나도 덩달아 행동할 때가 있다.
84,수동공격,상대방에게 화가 나서 일을 일부러 엉망으로 만든 적이 있다.
85,투사,내 주변에는 이유 없이 나를 미워하는 사람이 있다.
86,전치,친구와 이별하고 나서 허전함을 달래기 위해 곧 다른 친구를 사귀는 편이다.
87,부정,나는 절대 병에 안 걸릴 것 같다.
88,통제,모임에 나가면 대화의 주도권을 내가 잡게 된다.
89,억제,지는 게 이기는 것이라는 말대로 행동하려고 노력한다.
90,왜곡,이 사회에서 나는 없어서는 안 될 중요한 인물이다.
91,예견,시험에 대비하여 평소에 차근차근 준비하는 편이다.
92,합리화,이때까지 내가 한 일은 항상 최선의 선택이었다고 생각한다.
93,해리,가끔 나 자신이 어떤 행동을 하고 있는지 모르는 경우가 있다.
94,신체화,기분이 좋으면 평소 여기저기 아프던 것이 말끔히 나아진다.
95,승화,좌절이 있을 때 이를 극복하기 위해 의미 있는 일을 찾아본다.
96,행동화,간혹 화가 나서 물건을 깨뜨리거나 부수는 경우가 있다.
97,이타주의,나는 남의 문제를 해결하는 데 시간을 아끼지 않는다.
98,퇴행,일이 잘 안될 때는 공상에 빠지곤 한다.
99,유머,상대방에게 거슬리는 점이 있으면 유머러스하게 이를 지적해 준다.
100,회피,가족 사이에서 불화가 생기면 신경을 다른 곳으로 돌리려고 노력한다.
101,허세,집에 손님이 올 때를 생각해서라도 가구는 값비싼 것으로 마련하겠다.
102,반동형성,상대로부터 대접을 받고 싶어도 겉으로는 안 그런 척할 때가 있다.
103,동일시,내 주위의 존경하는 사람들의 행동을 닮게 되는 것 같다.
104,수동공격,누가 나의 행동을 저지하면 말없이 내 고집대로 한다.
105,투사,내 잘못인 줄 알면서도 남을 탓하는 경우가 있다.
106,전치,정작 화가 날 때는 가만히 있다가 나중에 엉뚱한 일로 화를 내게 된다.
107,부정,나는 성적인 욕구를 느껴 본 적이 없다.
108,통제,내 주변에는 답답한 사람들이 많아서 내가 도와주어야 한다.
109,억제,당장에는 뜻을 이루지 못하더라도 기회가 올 때까지 기다린다.
110,왜곡,가끔 나 자신이 신비한 능력을 발휘할 수 있을 것 같은 느낌이 든다.
111,예견,나는 수입에 맞추어 지출 계획을 세우고 거기에 따라 돈을 쓴다.
112,합리화,남과의 약속을 안 지킨 경우는 대개 그럴만한 이유가 있었다.
113,해리,복잡한 일이 있으면 정신이 혼란해져서 엉뚱한 행동을 할 때가 있다.
114,신체화,스트레스를 받으면 머리가 어질어질하고 곧 쓰러질 것 같다.
115,승화,괴로운 일이 있으면 책을 읽으면서 마음을 달랜다.
116,행동화,상대방에게 화가 날 때 참지 못하고 벌컥 화를 내는 경우가 많다.
117,이타주의,친구에게 어려운 문제가 생기면 어떻게든 도와주려고 애쓰는 편이다.
118,퇴행,스트레스를 받으면 잠을 많이 자게 된다.
119,유머,나는 항상 농담을 잘 하는 편이다.
120,회피,장래의 문제는 되도록 생각 않는 편이다.
121,허세,남 앞에서 허세를 부려야 하는 경우가 있다.
122,반동형성,속으로는 자랑하고 싶지만 겉으로는 겸손하게 행동한다.
123,동일시,나의 행동을 이끌어 줄 수 있는 강한 사람이 없으면 불안해진다.
124,수동공격,상대방이 싫으면 그가 하는 일을 은근히 훼방 놓는다.
125,투사,남이 나를 흉볼 것 같아 신경 쓰일 때가 있다.
126,전치,나는 더러운 것을 참지 못해 손을 계속 씻는 습관이 있다.
127,부정,나는 다른 사람의 사랑을 필요로 하지 않는다.
128,통제,회의에서는 대체로 내가 원하는 방향으로 결정을 끌어내는 편이다.
129,억제,가족 중에 누가 애를 먹일 때 나는 참고 기다린다.
130,왜곡,나는 하나님으로부터 직접 계시를 받은 적이 있다.
131,예견,옷을 살 때 그 옷의 쓰임새를 따져 보고 나서야 산다.
132,합리화,내가 일을 열심히 하는 것은 순전히 가족과 사회를 위해서이다.
133,해리,어려운 일에 부딪히면 갑자기 나 자신이 다른 사람처럼 느껴질 때가 있다.
134,신체화,가끔 몸이 저리거나 근육이 마비될 때가 있다.
135,승화,종교에 의지하여 마음의 고통을 이겨낸 적이 있다.
136,행동화,울컥하는 마음에 충동적으로 감정을 터뜨리는 경우가 있다.
137,이타주의,만약 미아를 발견한다면 적극적으로 부모를 찾아주는 노력을 하겠다.
138,퇴행,상대방이 내 부탁을 거절하면 마구 떼를 쓰는 경향이 있다.
139,유머,미운 사람이 있을 때 유머러스하게 비꼬아준다.
140,회피,오르지 못할 나무는 아예 쳐다보지 않는다.
141,허세,외식을 한다면 최고급 식당에서 하고 싶다.
142,반동형성,상대방이 싫지만 겉으로는 위해 주는 척할 때가 있다.
143,동일시,마치 나 자신의 분신과도 같이 느껴지는 사람이 있다.
144,수동공격,화가 나면 이불을 뒤집어쓰고 밥을 먹지 않는다.
145,투사,이 사회는 악으로 가득 차 있다고 생각한다.
146,전치,나 자신이 미워져서 가까운 사람에게 짜증을 낼 때가 있다.
147,부정,나의 장래에 어떤 나쁜 일이 생길 수 있다고 생각하지 않는다.
148,통제,나는 남의 일이라도 무심하게 넘기지 않는 성격이다.
149,억제,참을 '인'자 셋이면 살인도 피한다는데 나는 항상 참는 편이다.
150,왜곡,내 가족이 하는 일은 좋은 쪽으로만 받아들이는 경향이 있다.
151,예견,아침마다 그날 할 일에 대해서 계획을 세워 본다.
152,합리화,일단 행동한 다음에는 내 행동이 정당했다고 믿는다.
153,해리,가끔 꿈속인 양 정신이 몽롱해질 때가 있다.
154,신체화,신경 쓰면 자주 설사를 하거나 변비가 되곤 한다.
155,승화,마음이 복잡할 때는 친구들을 만나 떠들고 이야기하면서 푼다.
156,행동화,나는 억울한 일을 당하면 참지 못하고 폭발한다.
157,이타주의,수재민이나 이재민 돕기에 자주 참여한다.
158,퇴행,일이 잘 안 풀리면 누구에겐가 호소하면서 매달리고 싶어진다.
159,유머,대하기 거북한 상대에게는 농담을 던지면서 말을 건다.
160,회피,골치 아픈 일은 깊이 생각하지 않는다.
161,허세,자동차를 산다면 기왕이면 크고 멋있는 차를 사겠다.
162,반동형성,열등감을 느끼는 경우 오히려 당당하게 행동한다.
163,동일시,가족 중 누가 기분이 상하면 나도 같이 우울해진다.
164,수동공격,화가 나면 일부러 늦장을 부리거나 고집을 내세운다.
165,투사,내가 실수하면 좋아할 사람이 있다.
166,전치,다른 사람을 들볶고 나서 생각해 보면 나 자신의 문제 때문인 적이 있다.
167,부정,나를 나쁘게 말할 사람은 아무도 없다.
168,통제,나는 남에게 일을 시킬 때 아주 사소한 부분까지 직접 지시하는 편이다.
169,억제,나는 매사에 참을성이 많다.
170,왜곡,만약 나에게 정치를 맡겨만 준다면 사회 문제를 자신 있게 해결할 것 같다.
171,예견,평소 건강을 생각해 꾸준히 운동하는 편이다.
172,합리화,나는 내 행동에 대해 절대 후회하지 않는다.
173,해리,나는 어떤 때는 전혀 다른 사람인 양 행동할 때가 있다.
174,신체화,신경을 쓰면 가슴이 조여 오면서 답답해질 때가 있다.
175,승화,가끔 그림을 그리면서 시간을 보낸다.
176,행동화,집에 있기가 싫어서 가출한 적이 있다.
177,이타주의,길에 쓰러진 사람을 발견하면 그 사람을 도와주고 가겠다.
178,퇴행,어려운 일에 부딪히면 다른 사람이 대신 해결해 주기를 바란다.
179,유머,바보스러운 나의 실수를 얘기하면서 다른 사람과 함께 웃어넘길 수 있다.
180,회피,사람들이 많이 모이는 모임에는 가고 싶지 않다.
181,허세,나는 남에게 선물할 때 절대 내 분수에 넘치는 것은 하지 않는다.
182,반동형성,내가 좋아하는 사람에게 오히려 짓궂게 굴 때가 있다.
183,동일시,영화를 보고 나서 영화 속 주인공 이 되어 본 것처럼 행동하고 싶어진다.
184,수동공격,싫은 사람과 일을 같이 할 때는 뒷전에서 구경만 한다.
185,투사,일이 잘못될 탓이라도 해야 마음이 편할 때가 있다.
186,전치,"특별한 이유 없이 엘리베이터나 어두움, 높은 곳 등이 두려울 때가 있다."
187,부정,나는 이성에 대해 전혀 관심이 없다.
188,통제,친구들 사이에서 싸움 일이 날 때는 내가 중재하는 경우가 많다.
189,억제,어려운 일이 처음에 잘 안되더라도 느긋하게 대처한다.
190,왜곡,나는 사람들을 감화시켜서 훌륭한 사람으로 만들 수 있다.
191,예견,집에 도둑이 들었을 때를 생각해 대책을 마련해 두고 있다.
192,합리화,부모님에게 잘못된 행동을 한 경우는 다 그럴만한 이유가 있을 때문이었다.
193,해리,주변 사람들이 갑자기 낯설게 느껴질 때가 있다.
194,신체화,화가 나면 목구멍에 뭔가 걸린 듯한 느낌이 든다.
195,승화,마음이 울적할 때 시를 읽는다.
196,행동화,간혹 화가 나면 나 자신도 어쩔 수 없이 사람들을 때린 적이 있다.
197,이타주의,길에서 어떤 사람이 깡패에게 맞고 있다면 어떻게든 돕겠다.
198,퇴행,가끔 다시 어린아이로 되돌아가고 싶을 때가 있다.
199,유머,친구들과 얘기하다 분위기가 어색해지면 농담으로 분위기를 바꾼다.
200,회피,나는 다른 사람과의 언쟁을 될 수 있으면 피한다.
